name_cn,name_eg,assets,debts,mk,loan %,mk/net assets,mk/assets
苹果公司,"Apple,Inc.(aapl)","3,173.44","2,450.62",18272.31,77.22%,2527.92%,575.79%
微软公司,MicrosoftCorp.(msft),"3,013.11","1,830.07",15164.82,60.74%,1281.85%,503.29%
亚马逊公司,"Amazon.com,Inc.(amzn)","2,583.14","1,845.86",14800.84,71.46%,2007.49%,572.98%
谷歌公司,"Alphabet,Inc.(goog)","2,784.92",711.7,9930.32,25.56%,478.98%,356.57%
谷歌A类股,"Alphabet,Inc.(googl)","2,784.92",711.7,9898,25.56%,477.42%,355.41%
Facebook,"Facebook,Inc.(fb)","1,396.91",292.44,7194.13,20.93%,651.36%,515.00%
特斯拉汽车,"Tesla,Inc.(tsla)",381.35,267.98,4119.99,70.27%,3634.11%,1080.37%
英伟达公司,NVIDIACorp.(nvda),251.8,112.66,3011.79,44.74%,2164.58%,1196.10%
Adobe,"Adobe,Inc.(adbe)",224.14,107.01,2242.67,47.74%,1914.68%,1000.57%
英特尔公司,IntelCorp.(intc),"1,525.39",705.29,2121.82,46.24%,258.73%,139.10%
奈飞公司,"Netflix,Inc.(nflx)",371.75,278.41,2072.6,74.89%,2220.48%,557.53%
康卡斯特公司,ComcastCorp.(cmcsa),"2,659.78","1,799.31",2067.52,67.65%,240.28%,77.73%
PayPal,"PayPalHoldings,Inc.(pypl)",631.66,454.82,2065.83,72.00%,1168.19%,327.05%
百事可乐公司,"PepsiCo,Inc.(pep)",895.25,769.38,1820.38,85.94%,1446.24%,203.34%
思科系统公司,"CiscoSystems,Inc.(csco)",948.53,569.33,1685.33,60.02%,444.44%,177.68%
阿斯麦公司,ASMLHoldingNV(asml),272.99,130.36,1532.72,47.75%,1074.61%,561.46%
开市客公司,CostcoWholesaleCorp.(cost),517.32,345.29,1483.34,66.75%,862.26%,286.74%
博通有限公司,"Broadcom,Inc.(avgo)",792.98,557.13,1455.11,70.26%,616.96%,183.50%
安进公司,"Amgen,Inc.(amgn)",650.11,543.52,1450.88,83.60%,1361.18%,223.17%
特许通讯公司,"CharterCommunications,Inc.(chtr)","1,451.36","1,087.35",1281.13,74.92%,351.95%,88.27%
德州仪器,TexasInstrumentsIncorporated(txn),174.45,98.01,1272.58,56.18%,1664.81%,729.48%
高通公司,"QUALCOMM,Inc.(qcom)",323.28,290.22,1248.88,89.77%,3777.62%,386.32%
京东,"JD.com,Inc.(jd)",498.27,277.74,1165.85,55.74%,528.66%,233.98%
星巴克公司,StarbucksCorp.(sbux),291.41,377.65,993.07,129.59%,-1151.52%,340.78%
美国超微公司,"AdvancedMicroDevices,Inc.(amd)",65.83,32.78,879.72,49.79%,2661.79%,1336.35%
吉利德科学公司,"GileadSciences,Inc.(gild)",559.34,377.92,815.55,67.57%,449.54%,145.81%
滋国际公司,"MondelezInternational,Inc.(mdlz)",641.94,380.97,807.3,59.35%,309.35%,125.76%
财捷集团,"Intuit,Inc.(intu)",109.31,58.25,785.76,53.29%,1538.90%,718.84%
直觉外科公司,"IntuitiveSurgical,Inc.(isrg)",101.04,13.37,767.19,13.23%,875.09%,759.29%
缤客,"BookingHoldings,Inc.(bkng)",209.12,169.13,709.34,80.88%,1773.79%,339.20%
费哲金融服务,"Fiserv,Inc.(fisv)",770.93,438.07,693.09,56.82%,208.22%,89.90%
福泰制药,"VertexPharmaceuticals,Inc.(vrtx)",102.16,26.97,691.25,26.40%,919.34%,676.63%
网易,"NetEase,Inc.(ntes)",203.8,65.95,644.13,32.36%,467.27%,316.06%
动视暴雪公司,"ActivisionBlizzard,Inc.(atvi)",202.2,65.38,618.19,32.33%,451.83%,305.73%
CSX运输,CSXCorp.(csx),389.04,267.41,610.74,68.74%,502.13%,156.99%
再生元制药公司,"RegeneronPharmaceuticals,Inc.(regn)",144.29,53.71,590.73,37.22%,652.16%,409.40%
自动数据处理公司,"AutomaticDataProcessing,Inc.(adp)",391.66,334.13,580.84,85.31%,1009.63%,148.30%
美光科技公司,"MicronTechnology,Inc.(mu)",520.05,135.34,563.72,26.02%,146.53%,108.40%
应用材料公司,"AppliedMaterials,Inc.(amat)",211.71,116.02,512.81,54.80%,535.91%,242.22%
欧特克公司,"Autodesk,Inc.(adsk)",57.47,56.8,493.66,98.83%,73680.60%,858.99%
工作日公司,"Workday,Inc.(wday)",75.01,46.63,475.07,62.17%,1673.96%,633.34%
林氏研究公司,LamResearchCorp.(lrcx),145.59,93.87,447.38,64.48%,865.00%,307.29%
生化基因,"Biogen,Inc.(biib)",255.12,142.23,434.54,55.75%,384.92%,170.33%
百度,"Baidu,Inc.(bidu)",430.4,187.55,429.66,43.58%,176.92%,99.83%
亚德诺半导体,"AnalogDevices,Inc.(adi)",216,98.22,424.66,45.47%,360.55%,196.60%
怪物饮料,MonsterBeverageCorp.(mnst),51.94,9.72,416.59,18.71%,986.71%,802.06%
高知特信息技术,CognizantTechnologySolutionsCorp.(ctsh),182.16,72.44,373.39,39.77%,340.31%,204.98%
电子艺界公司,"ElectronicArts,Inc.(ea)",112.84,35.02,363.6,31.04%,467.23%,322.23%
卡夫亨氏,TheKraftHeinzCo.(khc),983.06,491.41,363.59,49.99%,73.95%,36.99%
恩智浦,NXPSemiconductorsNV(nxpi),210.57,120.02,352.07,57.00%,388.81%,167.20%
卓越能源,"XcelEnergy,Inc.(xel)",534.56,400.71,351.45,74.96%,262.57%,65.75%
奥莱利汽车公司,"O'ReillyAutomotive,Inc.(orly)",117.29,111.39,343.59,94.97%,5823.56%,292.94%
美国爱克斯龙电力公司,ExelonCorp.(exc),"1,263.13",914.42,341.76,72.39%,98.01%,27.06%
